ForageQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality
OTUID	8869.3.d21.HQNoRum	8829.3.d21.HQ40MDGSNoRum	8804.3.d21.HQ40MDGSRum	8789.3.d21.HQNoRum	8878.3.d21.HQRum	8847.3.d21.HQ40MDGSNoRum	8871.4.d21andCnSt.HQRum	8792.4.d21andCnSt.HQRum	8946.3.d21.HQRum	8958.3.d21.HQ40MDGSNoRum	8966.3.d21.HQRum	8995.3.d21.HQNoRum	8861.2.d63.HQNoRum	8869.2.d63.HQNoRum	8804.2.d63.HQ40MDGSRum	8802.2.d63.HQNoRum	8789.2.d63.HQNoRum	8847.2.d63.HQ40MDGSNoRum	8792.2.d63.HQRum	8966.2.d63.HQRum	8942.2.d63.HQ40MDGSNoRum	8974.2.d63.HQ40MDGSRum	8998.2.d63.HQNoRum	8990.2.d63.HQRum	8989.8.d63.HQ40MDGSRum	8859.8.d63.HQRum	8813.3.d21.40DeoiledMDGS	8798.3.d21.20DeoiledMDGS	8815.3.d21.20NormalMDGS	8809.3.d21.LQ40MDGSNoRum	8849.3.d21.20DeoiledMDGS	8882.3.d21.20NormalMDGS	8943.3.d21.40NormalMDGS	8945.3.d21.40DRC	8836.3.d21.40NormalMDGS	8973.3.d21.40DeoiledMDGS	8968.4.d21andCnSt.LQ40MDGSNoRum	8975.3.d21.20DeoiledMDGS	8879.4.d21andCnSt.20NormalMDGS	8972.4.d21andCnSt.20DeoiledMDGS	8976.4.d21andCnSt.20DeoiledMDGS	8996.3.d21.20NormalMDGS	8997.3.d21.20NormalMDGS	8963.3.d21.LQ40MDGSNoRum	8934.4.d21andCnSt.40DeoiledMDGS	8831.2.d63.40NormalMDGS	8824.2.d63.LQ40MDGSNoRum	8815.2.d63.20NormalMDGS	8845.2.d63.40DeoiledMDGS	8842.2.d63.20NormalMDGS	8812.2.d63.40DeoiledMDGS	8796.2.d63.40DRC	8821.2.d63.LQ40MDGSNoRum	8949.2.d63.LQ40MDGSNoRum	8941.2.d63.20NormalMDGS	8951.2.d63.LQ40MDGSNoRum	8964.2.d63.20DeoiledMDGS	8979.2.d63.LQ40MDGSNoRum	8997.8.d63.20NormalMDGS	8937.8.d63.40DRC	8963.8.d63.LQ40MDGSNoRum	8791.8.d63.20NormalMDGS	8934.8.d63.40DeoiledMDGS
2193	0	0	0.000628733102798	0	0.000628733102798	0.000314366551399	0.000314366551399	0.000314366551399	0.000314366551399	0	0	0	0	0	0	0	0	0.000943099654197	0	0	0.000314366551399	0	0	0	0.000628733102798	0.000314366551399	0	0.000314366551399	0	0.000314366551399	0	0	0	0	0	0	0	0.000314366551399	0	0	0	0.000314366551399	0.000628733102798	0.000314366551399	0	0	0	0.000314366551399	0	0	0.000314366551399	0.000314366551399	0.00157183275699	0	0	0	0	0.000314366551399	0	0	0	0.000314366551399	0
17	0	0	0.000943099654197	0.0012574662056	0.000314366551399	0	0.000314366551399	0.000314366551399	0.000314366551399	0.000314366551399	0	0.000943099654197	0	0.000314366551399	0	0.000628733102798	0.00251493241119	0.00377239861679	0.000314366551399	0.00157183275699	0.00251493241119	0.000314366551399	0	0.000628733102798	0.00282929896259	0.000314366551399	0.000314366551399	0.00251493241119	0	0.00314366551399	0.000314366551399	0.000314366551399	0.00502986482238	0	0	0.00157183275699	0.00220056585979	0.000314366551399	0	0	0.000943099654197	0	0.00251493241119	0.00157183275699	0.00314366551399	0.00251493241119	0.00157183275699	0	0.00345803206539	0	0.00597296447658	0.00785916378497	0.0154039610185	0.00377239861679	0	0.000943099654197	0.000628733102798	0.00534423137378	0	0.00282929896259	0.00408676516819	0.00314366551399	0.0012574662056
2284	0.000628733102798	0	0	0	0.000628733102798	0.000314366551399	0	0.000314366551399	0	0	0.000314366551399	0.000314366551399	0.000314366551399	0.000628733102798	0	0.000314366551399	0.000314366551399	0.000314366551399	0	0	0	0.000314366551399	0	0	0.000314366551399	0	0.000314366551399	0.000314366551399	0.000628733102798	0	0	0	0	0	0	0	0	0	0	0.000628733102798	0	0.000628733102798	0	0	0	0	0	0	0	0	0.000314366551399	0	0	0	0.000314366551399	0	0.000314366551399	0.000314366551399	0.000628733102798	0	0.000314366551399	0	0
2291	0.00251493241119	0.00628733102798	0.00345803206539	0.000943099654197	0.0012574662056	0.0012574662056	0.00157183275699	0.000628733102798	0.000314366551399	0	0.00282929896259	0.000943099654197	0.000314366551399	0.000943099654197	0.000314366551399	0.000628733102798	0.000314366551399	0.000314366551399	0.0012574662056	0	0.000314366551399	0	0	0	0	0	0.00471549827098	0.00220056585979	0.000314366551399	0.0012574662056	0.000628733102798	0	0.00188619930839	0.000628733102798	0.00157183275699	0.0012574662056	0	0.000628733102798	0.000943099654197	0.00471549827098	0.000943099654197	0.000628733102798	0	0.000628733102798	0.000314366551399	0	0.00345803206539	0.000628733102798	0.000314366551399	0	0.000628733102798	0.00220056585979	0	0	0	0.000628733102798	0.000314366551399	0.000943099654197	0.00220056585979	0.000314366551399	0.0012574662056	0.00345803206539	0
252	0.00157183275699	0.00157183275699	0.000943099654197	0.0012574662056	0.000314366551399	0.00157183275699	0.000628733102798	0	0	0.0012574662056	0.0012574662056	0.000314366551399	0.000628733102798	0.0012574662056	0.000314366551399	0.00282929896259	0.00188619930839	0.00188619930839	0.000628733102798	0.0012574662056	0.00282929896259	0.000314366551399	0	0.000943099654197	0.00220056585979	0.00251493241119	0.000314366551399	0.000628733102798	0.00188619930839	0	0	0.000628733102798	0.000314366551399	0	0	0.000943099654197	0.000628733102798	0.000314366551399	0.000314366551399	0	0.000943099654197	0.000943099654197	0.000628733102798	0.000314366551399	0.0012574662056	0.0012574662056	0.000314366551399	0.00188619930839	0.000943099654197	0.000943099654197	0.00157183275699	0.00220056585979	0.000628733102798	0.000314366551399	0	0.0012574662056	0	0.000314366551399	0	0.000628733102798	0.000314366551399	0.000628733102798	0.000314366551399
2339	0	0.000314366551399	0	0.000314366551399	0.000314366551399	0	0	0	0.000628733102798	0.000314366551399	0.000628733102798	0	0.000314366551399	0.000314366551399	0	0.000314366551399	0	0	0	0	0	0	0	0	0	0	0	0	0.000628733102798	0.000314366551399	0	0	0.000314366551399	0	0	0	0.000943099654197	0	0	0	0	0.000628733102798	0	0	0.000314366551399	0	0	0	0.000314366551399	0	0	0	0.000314366551399	0.000314366551399	0	0.000628733102798	0	0	0	0	0	0	0.000628733102798
254	0.000314366551399	0	0	0.000314366551399	0	0	0.0012574662056	0.000314366551399	0	0.000628733102798	0	0.000314366551399	0.000314366551399	0.000314366551399	0.00157183275699	0	0.000314366551399	0.000628733102798	0	0.000314366551399	0.000943099654197	0.000628733102798	0.00188619930839	0.0012574662056	0	0.000314366551399	0.000314366551399	0.000314366551399	0	0.000314366551399	0.000628733102798	0	0.000628733102798	0.000943099654197	0.000628733102798	0	0.000314366551399	0.000314366551399	0.000314366551399	0.000943099654197	0.000314366551399	0	0.000314366551399	0	0	0.000314366551399	0.000628733102798	0.000314366551399	0.000943099654197	0.000314366551399	0	0	0	0	0.000943099654197	0.000314366551399	0.000628733102798	0	0.000314366551399	0.000943099654197	0	0.000628733102798	0.000628733102798
257	0.000628733102798	0.00282929896259	0.00534423137378	0.00282929896259	0.00377239861679	0.00408676516819	0.00597296447658	0.0138321282616	0.00565859792518	0.00220056585979	0	0.00440113171959	0.00345803206539	0.00157183275699	0	0.00440113171959	0.00785916378497	0.0176045268783	0.000628733102798	0.0122602955046	0.00660169757938	0	0.0012574662056	0.00282929896259	0.0150895944671	0.00377239861679	0.000628733102798	0.00188619930839	0.000628733102798	0.0113171958504	0.00157183275699	0.00502986482238	0.000943099654197	0	0	0	0.00377239861679	0.00157183275699	0.00157183275699	0	0.000943099654197	0.00188619930839	0.00440113171959	0.00408676516819	0.000628733102798	0.000314366551399	0.0012574662056	0.00220056585979	0.000628733102798	0.00157183275699	0.00723043068218	0.00502986482238	0.0289217227287	0.00534423137378	0.000943099654197	0.00377239861679	0	0.00345803206539	0.000628733102798	0.00251493241119	0.0012574662056	0.00220056585979	0.00220056585979
2459	0.00220056585979	0.00251493241119	0.00188619930839	0.00220056585979	0.00157183275699	0.00157183275699	0	0.00157183275699	0.000314366551399	0.00188619930839	0.00345803206539	0.00157183275699	0.00188619930839	0.0012574662056	0	0.00345803206539	0.00220056585979	0.000943099654197	0.00188619930839	0.0012574662056	0.00314366551399	0.0012574662056	0.000314366551399	0.00157183275699	0.00408676516819	0.00157183275699	0.00471549827098	0.00282929896259	0.00471549827098	0.00408676516819	0.00282929896259	0.00377239861679	0.000314366551399	0.000314366551399	0.000943099654197	0.00157183275699	0.000628733102798	0.00220056585979	0.00314366551399	0.00251493241119	0.000628733102798	0.00282929896259	0.000943099654197	0.00440113171959	0.00282929896259	0.00251493241119	0.00408676516819	0.00377239861679	0.00220056585979	0.00220056585979	0.00345803206539	0.000314366551399	0.000628733102798	0.00282929896259	0.00408676516819	0.00188619930839	0.00251493241119	0.00251493241119	0.00377239861679	0	0.00251493241119	0.00597296447658	0.00220056585979
272	0.00597296447658	0.00597296447658	0.0132033951588	0.0286073561773	0.0191763596353	0.0179188934297	0.00660169757938	0.00440113171959	0.0220056585979	0.00534423137378	0.0100597296448	0.0282929896259	0.00848789688777	0.00314366551399	0.0204338258409	0.00345803206539	0.00660169757938	0.00377239861679	0.00817353033637	0.00943099654197	0.00754479723357	0.0386670858221	0.0223200251493	0.00817353033637	0.00157183275699	0.00974536309337	0.0166614272241	0.0163470606727	0.00880226343917	0.00565859792518	0.0194907261867	0.00723043068218	0.00974536309337	0.071675573719	0.0185476265325	0.0242062244577	0.00534423137378	0.0198050927381	0.00377239861679	0.00628733102798	0.00660169757938	0.0210625589437	0.0245205910091	0.00628733102798	0.00220056585979	0.00440113171959	0.0103740961962	0.00534423137378	0.0106884627476	0.00691606413078	0.00440113171959	0.011002829299	0.00220056585979	0.000943099654197	0.014146494813	0.014146494813	0.00723043068218	0.00471549827098	0.00534423137378	0.0380383527193	0.011002829299	0.00597296447658	0.0279786230745
